dt,msd
2,0.51037
4,0.96824
6,1.37878
8,1.73246
10,2.03779
12,2.30588
14,2.54588
16,2.76451
18,2.96653
20,3.15529
22,3.3332
24,3.50198
26,3.66287
28,3.81678
30,3.96438
32,4.10622
34,4.24271
36,4.37423
38,4.50106
40,4.62347
42,4.74169
44,4.85594
46,4.96641
48,5.07326
50,5.17667
52,5.27678
54,5.37374
56,5.46768
58,5.55874
60,5.64703
62,5.73267
64,5.81577
66,5.89643
68,5.97475
70,6.05083
72,6.12477
74,6.19664
76,6.26654
78,6.33455
80,6.40073
82,6.46517
84,6.52794
86,6.58911
88,6.64873
90,6.70689
92,6.76362
94,6.81901
96,6.87309
98,6.92592
100,6.97755
102,7.02803
104,7.07741
106,7.12573
108,7.17303
110,7.21936
112,7.26474
114,7.30923
116,7.35284
118,7.39562
120,7.4376
122,7.47881
124,7.51928
126,7.55903
128,7.59809
130,7.63649
132,7.67425
134,7.7114
136,7.74795
138,7.78393
140,7.81936
142,7.85425
144,7.88863
146,7.92252
148,7.95593
150,7.98887
152,8.02137
154,8.05343
156,8.08508
158,8.11633
160,8.14718
162,8.17765
164,8.20776
166,8.23752
168,8.26693
170,8.296
172,8.32476
174,8.3532
176,8.38134
178,8.40919
180,8.43675
182,8.46404
184,8.49105
186,8.51781
188,8.54431
190,8.57057
192,8.59658
194,8.62237
196,8.64793
198,8.67327
200,8.69839
202,8.72331
204,8.74802
206,8.77254
208,8.79686
210,8.821
212,8.84495
214,8.86873
216,8.89233
218,8.91576
220,8.93903
222,8.96214
224,8.98509
226,9.00788
228,9.03053
230,9.05303
232,9.07538
234,9.0976
236,9.11967
238,9.14162
240,9.16343
242,9.18511
244,9.20667
246,9.22811
248,9.24942
250,9.27062
252,9.2917
254,9.31267
256,9.33353
258,9.35427
260,9.37491
262,9.39545
264,9.41588
266,9.43621
268,9.45644
270,9.47658
272,9.49661
274,9.51656
276,9.53641
278,9.55617
280,9.57584
282,9.59542
284,9.61491
286,9.63432
288,9.65365
290,9.67289
292,9.69205
294,9.71113
296,9.73013
298,9.74905
300,9.7679
302,9.78667
304,9.80536
306,9.82398
308,9.84253
310,9.861
312,9.87941
314,9.89774
316,9.91601
318,9.9342
320,9.95233
322,9.97039
324,9.98838
326,10.00631
328,10.02418
330,10.04198
332,10.05971
334,10.07739
336,10.095
338,10.11255
340,10.13004
342,10.14747
344,10.16484
346,10.18215
348,10.1994
350,10.2166
352,10.23374
354,10.25082
356,10.26784
358,10.28481
360,10.30173
362,10.31858
364,10.33539
366,10.35214
368,10.36884
370,10.38548
372,10.40208
374,10.41862
376,10.4351
378,10.45154
380,10.46793
382,10.48427
384,10.50055
386,10.51679
388,10.53298
390,10.54911
392,10.5652
394,10.58125
396,10.59724
398,10.61318
400,10.62908
402,10.64494
404,10.66074
406,10.6765
408,10.69221
410,10.70788
412,10.7235
414,10.73908
416,10.75461
418,10.7701
420,10.78554
422,10.80094
424,10.8163
426,10.83161
428,10.84688
430,10.86211
432,10.87729
434,10.89243
436,10.90753
438,10.92259
440,10.9376
442,10.95258
444,10.96751
446,10.9824
448,10.99725
450,11.01206
452,11.02683
454,11.04156
456,11.05625
458,11.0709
460,11.08551
462,11.10008
464,11.11462
466,11.12911
468,11.14357
470,11.15798
472,11.17236
474,11.1867
476,11.201
478,11.21527
480,11.22949
482,11.24368
484,11.25783
486,11.27195
488,11.28603
490,11.30007
492,11.31407
494,11.32804
496,11.34197
498,11.35587
500,11.36973
502,11.38355
504,11.39734
506,11.4111
508,11.42482
510,11.4385
512,11.45215
514,11.46576
516,11.47934
518,11.49289
520,11.5064
522,11.51987
524,11.53332
526,11.54672
528,11.5601
530,11.57344
532,11.58675
534,11.60002
536,11.61326
538,11.62647
540,11.63965
542,11.65279
544,11.6659
546,11.67897
548,11.69202
550,11.70503
552,11.71801
554,11.73096
556,11.74388
558,11.75676
560,11.76962
562,11.78244
564,11.79523
566,11.80799
568,11.82071
570,11.83341
572,11.84608
574,11.85871
576,11.87132
578,11.88389
580,11.89643
582,11.90895
584,11.92143
586,11.93388
588,11.94631
590,11.9587
592,11.97106
594,11.9834
596,11.9957
598,12.00797
600,12.02022
602,12.03243
604,12.04462
606,12.05678
608,12.06891
610,12.08101
612,12.09308
614,12.10512
616,12.11714
618,12.12912
620,12.14108
622,12.15301
624,12.16491
626,12.17678
628,12.18863
630,12.20045
632,12.21224
634,12.224
636,12.23573
638,12.24744
640,12.25912
642,12.27077
644,12.2824
646,12.294
648,12.30557
650,12.31711
652,12.32863
654,12.34012
656,12.35159
658,12.36302
660,12.37444
662,12.38582
664,12.39718
666,12.40851
668,12.41982
670,12.4311
672,12.44236
674,12.45358
676,12.46479
678,12.47597
680,12.48712
682,12.49824
684,12.50935
686,12.52042
688,12.53147
690,12.5425
692,12.5535
694,12.56447
696,12.57543
698,12.58635
700,12.59725
702,12.60813
704,12.61898
706,12.62981
708,12.64061
710,12.65139
712,12.66214
714,12.67288
716,12.68358
718,12.69426
720,12.70492
722,12.71556
724,12.72617
726,12.73675
728,12.74732
730,12.75786
732,12.76837
734,12.77887
736,12.78933
738,12.79978
740,12.8102
742,12.8206
744,12.83098
746,12.84133
748,12.85166
750,12.86197
752,12.87226
754,12.88252
756,12.89276
758,12.90298
760,12.91317
762,12.92334
764,12.93349
766,12.94362
768,12.95373
770,12.96381
772,12.97387
774,12.98391
776,12.99393
778,13.00392
780,13.0139
782,13.02385
784,13.03378
786,13.04369
788,13.05358
790,13.06344
792,13.07329
794,13.08311
796,13.09291
798,13.10269
800,13.11245
802,13.12219
804,13.13191
806,13.1416
